name,link,sub,memory_load,day,annotation_file_name,annotation_file_link
suj25_l5nap_day2.eeg,https://files.osf.io/v1/resources/chav7/providers/googledrive/suj25_l5nap_day2.eeg,25,5,2,suj25_nap_day2_edited_annotations.txt,https://files.osf.io/v1/resources/h68a3/providers/osfstorage/58b0bcf79ad5a101f812a682
suj25_l5nap_day2.vmrk,https://files.osf.io/v1/resources/chav7/providers/googledrive/suj25_l5nap_day2.vmrk,25,5,2,suj25_nap_day2_edited_annotations.txt,https://files.osf.io/v1/resources/h68a3/providers/osfstorage/58b0bcf79ad5a101f812a682
suj25_l5nap_day2.vhdr,https://files.osf.io/v1/resources/chav7/providers/googledrive/suj25_l5nap_day2.vhdr,25,5,2,suj25_nap_day2_edited_annotations.txt,https://files.osf.io/v1/resources/h68a3/providers/osfstorage/58b0bcf79ad5a101f812a682
suj26_l5nap_day1.eeg,https://files.osf.io/v1/resources/chav7/providers/googledrive/suj26_l5nap_day1.eeg,26,5,1,suj26_nap_day1_edited_annotations.txt,https://files.osf.io/v1/resources/h68a3/providers/osfstorage/5ee0b62942fefb00340d301c
suj26_l5nap_day1.vmrk,https://files.osf.io/v1/resources/chav7/providers/googledrive/suj26_l5nap_day1.vmrk,26,5,1,suj26_nap_day1_edited_annotations.txt,https://files.osf.io/v1/resources/h68a3/providers/osfstorage/5ee0b62942fefb00340d301c
suj26_l5nap_day1.vhdr,https://files.osf.io/v1/resources/chav7/providers/googledrive/suj26_l5nap_day1.vhdr,26,5,1,suj26_nap_day1_edited_annotations.txt,https://files.osf.io/v1/resources/h68a3/providers/osfstorage/5ee0b62942fefb00340d301c
suj26_l2nap_day2.eeg,https://files.osf.io/v1/resources/chav7/providers/googledrive/suj26_l2nap_day2.eeg,26,2,2,suj26_nap_day2_edited_annotations.txt,https://files.osf.io/v1/resources/h68a3/providers/osfstorage/5ee0b90b3099210043a04956
suj26_l2nap_day2.vmrk,https://files.osf.io/v1/resources/chav7/providers/googledrive/suj26_l2nap_day2.vmrk,26,2,2,suj26_nap_day2_edited_annotations.txt,https://files.osf.io/v1/resources/h68a3/providers/osfstorage/5ee0b90b3099210043a04956
suj26_l2nap_day2.vhdr,https://files.osf.io/v1/resources/chav7/providers/googledrive/suj26_l2nap_day2.vhdr,26,2,2,suj26_nap_day2_edited_annotations.txt,https://files.osf.io/v1/resources/h68a3/providers/osfstorage/5ee0b90b3099210043a04956
suj27_l5nap_day1.eeg,https://files.osf.io/v1/resources/chav7/providers/googledrive/suj27_l5nap_day1.eeg,27,5,1,suj27_nap_day1_edited_annotations.txt,https://files.osf.io/v1/resources/h68a3/providers/osfstorage/5ee0bd3e309921004aa02b8d
suj27_l5nap_day1.vmrk,https://files.osf.io/v1/resources/chav7/providers/googledrive/suj27_l5nap_day1.vmrk,27,5,1,suj27_nap_day1_edited_annotations.txt,https://files.osf.io/v1/resources/h68a3/providers/osfstorage/5ee0bd3e309921004aa02b8d
suj27_l5nap_day1.vhdr,https://files.osf.io/v1/resources/chav7/providers/googledrive/suj27_l5nap_day1.vhdr,27,5,1,suj27_nap_day1_edited_annotations.txt,https://files.osf.io/v1/resources/h68a3/providers/osfstorage/5ee0bd3e309921004aa02b8d
suj27_l2nap_day2.eeg,https://files.osf.io/v1/resources/chav7/providers/googledrive/suj27_l2nap_day2.eeg,27,2,2,suj27_nap_day2_edited_annotations.txt,https://files.osf.io/v1/resources/h68a3/providers/osfstorage/5ee0bd40309921004aa02b94
suj27_l2nap_day2.vmrk,https://files.osf.io/v1/resources/chav7/providers/googledrive/suj27_l2nap_day2.vmrk,27,2,2,suj27_nap_day2_edited_annotations.txt,https://files.osf.io/v1/resources/h68a3/providers/osfstorage/5ee0bd40309921004aa02b94
suj27_l2nap_day2.vhdr,https://files.osf.io/v1/resources/chav7/providers/googledrive/suj27_l2nap_day2.vhdr,27,2,2,suj27_nap_day2_edited_annotations.txt,https://files.osf.io/v1/resources/h68a3/providers/osfstorage/5ee0bd40309921004aa02b94
